model,f1_mean,f1_std,pr_auc_mean,pr_auc_std,fp_mean,fp_std
Logistic Regression (Baseline),0.11454476200828881,0.008244280938250597,0.6986403268103002,0.045594747992516595,1294.8,103.8949469416102
XGBoost Only (No IF Features),0.8185578553327171,0.02165063252198159,0.8270346371814833,0.031242743747232692,14.4,3.2619012860600183
Hybrid IsolationForest + XGBoost,0.8101100176303822,0.024838193417175098,0.8212114219812209,0.03361349786281626,16.6,2.870540018881465
